name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,9/12/22,73.5,57.6,64.8,73.5,57.6,64.8,57.1,77.9,0,0,0,,0,0,19.7,12.4,178.7,1014.1,92.5,14.6,137.6,11.8,6,,2022-09-12T07:09:26,2022-09-12T20:02:55,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/13/22,69.6,59.1,65.4,69.6,59.1,65.4,57.8,77.4,0.004,100,4.17,rain,0,0,15.5,10.1,333.2,1010.1,96,18.7,144.5,12.4,6,,2022-09-13T07:11:06,2022-09-13T20:00:33,0.6,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/14/22,67.3,56,61.3,67.3,56,61.3,53.8,77,0,0,0,,0,0,14.4,9.5,25.7,1006.9,93.4,23.8,133.5,11.6,6,,2022-09-14T07:12:45,2022-09-14T19:58:11,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/15/22,64.9,54.8,59.4,64.9,54.8,59.4,51.2,74.9,0.016,100,8.33,rain,0,0,27.7,19.8,312.7,1008.7,85.7,22.5,72.3,6.3,4,,2022-09-15T07:14:24,2022-09-15T19:55:49,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/16/22,61,51.9,55.5,61,51.9,55.5,48.1,76.8,0.435,100,79.17,rain,0,0,31.9,20.6,310.8,1011.1,68.4,17.9,118.5,10.2,6,,2022-09-16T07:16:04,2022-09-16T19:53:27,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/17/22,60.8,50.7,54.9,60.8,50.7,54.9,46.6,74.6,0.183,100,8.33,rain,0,0,38.3,22.8,317.1,1014.7,70.7,16.4,115.1,9.9,7,,2022-09-17T07:17:43,2022-09-17T19:51:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/18/22,55.9,52.2,53.8,55.9,52.2,53.8,49.2,84.3,1.059,100,25,rain,0,0,27.1,13.4,312.7,1015.2,88,17.6,21.3,1.7,1,,2022-09-18T07:19:23,2022-09-18T19:48:43,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/19/22,60.3,52.7,56.1,60.3,52.7,56.1,48.4,75.8,0.085,100,41.67,rain,0,0,26.1,14.7,316.3,1020.2,86.8,16.8,84.1,7.5,3,,2022-09-19T07:21:03,2022-09-19T19:46:21,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/20/22,61.2,49.3,55,61.2,49.3,55,48.2,78.5,0.004,100,8.33,rain,0,0,15.7,9.5,334.2,1023.9,75.3,23.3,63.2,5.4,4,,2022-09-20T07:22:43,2022-09-20T19:43:59,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/21/22,62.4,45.5,53.7,62.4,45.5,53.7,46.5,78.8,0,0,0,,0,0,8.9,4.8,129.3,1026.5,66.3,22.1,152.1,13,6,,2022-09-21T07:24:23,2022-09-21T19:41:36,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/22/22,64.9,43.4,53.7,64.9,43.4,53.7,45.7,76.9,0,0,0,,0,0,20.1,11.8,161.5,1022.3,55.6,19.9,159,13.7,6,,2022-09-22T07:26:03,2022-09-22T19:39:14,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
